category,n_docs,min_cluster_size,is_scaled,umap_n_neighbors,umap_n_components,min_samples,n_topics,outlier_pct,config_name
cs.IR,1371,30,False,10,5,5,17,22.25,cs.IR_mcs30_nn10_nc5_ms5
cs.IR,1371,30,False,10,5,10,17,23.34,cs.IR_mcs30_nn10_nc5_ms10
cs.IR,1371,30,False,10,10,5,15,29.54,cs.IR_mcs30_nn10_nc10_ms5
cs.IR,1371,30,False,15,5,5,15,31.58,cs.IR_mcs30_nn15_nc5_ms5
cs.IR,1371,34,True,10,5,5,15,24.58,cs.IR_mcs34_nn10_nc5_ms5
cs.IR,1371,34,True,10,5,10,15,25.67,cs.IR_mcs34_nn10_nc5_ms10
cs.DB,1768,30,False,10,5,5,23,23.08,cs.DB_mcs30_nn10_nc5_ms5
cs.DB,1768,30,False,10,5,10,22,23.81,cs.DB_mcs30_nn10_nc5_ms10
cs.DB,1768,30,False,10,10,5,23,28.45,cs.DB_mcs30_nn10_nc10_ms5
cs.DB,1768,30,False,10,10,10,22,18.72,cs.DB_mcs30_nn10_nc10_ms10
cs.DB,1768,30,False,15,5,5,24,19.57,cs.DB_mcs30_nn15_nc5_ms5
cs.DB,1768,30,False,15,5,10,23,22.62,cs.DB_mcs30_nn15_nc5_ms10
cs.DB,1768,30,False,15,10,5,24,18.95,cs.DB_mcs30_nn15_nc10_ms5
cs.DB,1768,30,False,15,10,10,24,18.04,cs.DB_mcs30_nn15_nc10_ms10
cs.DB,1768,30,False,30,5,5,26,20.08,cs.DB_mcs30_nn30_nc5_ms5
cs.DB,1768,30,False,30,5,10,21,17.02,cs.DB_mcs30_nn30_nc5_ms10
cs.DB,1768,30,False,30,10,5,21,10.97,cs.DB_mcs30_nn30_nc10_ms5
cs.DB,1768,30,False,30,10,10,20,11.99,cs.DB_mcs30_nn30_nc10_ms10
cs.DB,1768,44,True,10,5,5,15,21.21,cs.DB_mcs44_nn10_nc5_ms5
cs.DB,1768,44,True,10,5,10,15,20.02,cs.DB_mcs44_nn10_nc5_ms10
cs.DB,1768,44,True,15,5,5,15,31.28,cs.DB_mcs44_nn15_nc5_ms5
cs.SE,1956,30,False,10,5,5,22,24.9,cs.SE_mcs30_nn10_nc5_ms5
cs.SE,1956,30,False,10,5,10,22,22.9,cs.SE_mcs30_nn10_nc5_ms10
cs.SE,1956,30,False,10,10,5,21,27.15,cs.SE_mcs30_nn10_nc10_ms5
cs.SE,1956,30,False,10,10,10,22,31.54,cs.SE_mcs30_nn10_nc10_ms10
cs.SE,1956,30,False,15,5,5,20,15.08,cs.SE_mcs30_nn15_nc5_ms5
cs.SE,1956,30,False,15,5,10,18,15.44,cs.SE_mcs30_nn15_nc5_ms10
cs.SE,1956,30,False,15,10,5,22,26.38,cs.SE_mcs30_nn15_nc10_ms5
cs.SE,1956,30,False,15,10,10,19,12.88,cs.SE_mcs30_nn15_nc10_ms10
cs.SE,1956,30,False,30,5,5,17,17.89,cs.SE_mcs30_nn30_nc5_ms5
