category,n_docs,min_cluster_size,is_scaled,umap_n_neighbors,umap_n_components,min_samples,n_topics,outlier_pct,config_name
cs.AI,7369,30,False,10,5,5,60,29.84,cs.AI_mcs30_nn10_nc5_ms5
cs.AI,7369,30,False,10,5,10,50,31.39,cs.AI_mcs30_nn10_nc5_ms10
cs.AI,7369,30,False,10,10,5,58,26.98,cs.AI_mcs30_nn10_nc10_ms5
cs.AI,7369,30,False,10,10,10,49,32.39,cs.AI_mcs30_nn10_nc10_ms10
cs.AI,7369,30,False,15,5,5,63,32.0,cs.AI_mcs30_nn15_nc5_ms5
cs.AI,7369,30,False,15,5,10,52,36.36,cs.AI_mcs30_nn15_nc5_ms10
cs.AI,7369,30,False,15,10,5,61,33.67,cs.AI_mcs30_nn15_nc10_ms5
cs.AI,7369,30,False,15,10,10,52,37.92,cs.AI_mcs30_nn15_nc10_ms10
cs.AI,7369,30,False,30,5,5,55,40.33,cs.AI_mcs30_nn30_nc5_ms5
cs.AI,7369,30,False,30,5,10,48,44.58,cs.AI_mcs30_nn30_nc5_ms10
cs.AI,7369,30,False,30,10,5,47,39.72,cs.AI_mcs30_nn30_nc10_ms5
cs.AI,7369,30,False,30,10,10,41,39.16,cs.AI_mcs30_nn30_nc10_ms10
cs.AI,7369,50,False,10,5,5,36,28.25,cs.AI_mcs50_nn10_nc5_ms5
cs.AI,7369,50,False,10,5,10,30,25.06,cs.AI_mcs50_nn10_nc5_ms10
cs.AI,7369,50,False,10,10,5,37,32.46,cs.AI_mcs50_nn10_nc10_ms5
cs.AI,7369,50,False,10,10,10,33,35.16,cs.AI_mcs50_nn10_nc10_ms10
cs.AI,7369,50,False,15,5,5,35,32.23,cs.AI_mcs50_nn15_nc5_ms5
cs.AI,7369,50,False,15,5,10,36,37.18,cs.AI_mcs50_nn15_nc5_ms10
cs.AI,7369,50,False,15,10,5,33,31.24,cs.AI_mcs50_nn15_nc10_ms5
cs.AI,7369,50,False,15,10,10,35,37.71,cs.AI_mcs50_nn15_nc10_ms10
cs.AI,7369,50,False,30,5,5,31,38.91,cs.AI_mcs50_nn30_nc5_ms5
cs.AI,7369,50,False,30,5,10,29,41.08,cs.AI_mcs50_nn30_nc5_ms10
cs.AI,7369,50,False,30,10,5,32,38.13,cs.AI_mcs50_nn30_nc10_ms5
cs.AI,7369,50,False,30,10,10,28,35.01,cs.AI_mcs50_nn30_nc10_ms10
cs.AI,7369,80,False,10,5,5,25,30.49,cs.AI_mcs80_nn10_nc5_ms5
cs.AI,7369,80,False,10,5,10,22,28.84,cs.AI_mcs80_nn10_nc5_ms10
cs.AI,7369,80,False,10,10,5,21,29.57,cs.AI_mcs80_nn10_nc10_ms5
cs.AI,7369,80,False,10,10,10,23,38.51,cs.AI_mcs80_nn10_nc10_ms10
cs.AI,7369,80,False,15,5,5,18,28.54,cs.AI_mcs80_nn15_nc5_ms5
cs.AI,7369,80,False,15,5,10,23,34.29,cs.AI_mcs80_nn15_nc5_ms10
cs.AI,7369,80,False,15,10,5,2,0.2,cs.AI_mcs80_nn15_nc10_ms5
cs.AI,7369,80,False,15,10,10,2,0.18,cs.AI_mcs80_nn15_nc10_ms10
cs.AI,7369,80,False,30,5,5,2,2.33,cs.AI_mcs80_nn30_nc5_ms5
cs.AI,7369,80,False,30,5,10,7,18.44,cs.AI_mcs80_nn30_nc5_ms10
cs.AI,7369,80,False,30,10,5,16,29.22,cs.AI_mcs80_nn30_nc10_ms5
cs.AI,7369,80,False,30,10,10,17,32.54,cs.AI_mcs80_nn30_nc10_ms10
cs.AI,7369,120,False,10,5,5,2,0.53,cs.AI_mcs120_nn10_nc5_ms5
cs.AI,7369,120,False,10,5,10,2,2.06,cs.AI_mcs120_nn10_nc5_ms10
cs.AI,7369,120,False,10,10,5,16,29.91,cs.AI_mcs120_nn10_nc10_ms5
cs.AI,7369,120,False,10,10,10,16,38.85,cs.AI_mcs120_nn10_nc10_ms10
cs.AI,7369,120,False,15,5,5,15,29.18,cs.AI_mcs120_nn15_nc5_ms5
cs.AI,7369,120,False,15,5,10,12,35.34,cs.AI_mcs120_nn15_nc5_ms10
cs.AI,7369,120,False,15,10,5,11,28.84,cs.AI_mcs120_nn15_nc10_ms5
cs.AI,7369,120,False,15,10,10,13,34.88,cs.AI_mcs120_nn15_nc10_ms10
cs.AI,7369,120,False,30,5,5,12,42.52,cs.AI_mcs120_nn30_nc5_ms5
cs.AI,7369,120,False,30,5,10,5,19.26,cs.AI_mcs120_nn30_nc5_ms10
cs.AI,7369,120,False,30,10,5,11,27.18,cs.AI_mcs120_nn30_nc10_ms5
cs.AI,7369,120,False,30,10,10,11,33.4,cs.AI_mcs120_nn30_nc10_ms10
cs.AI,7369,184,True,10,5,5,2,0.53,cs.AI_mcs184_nn10_nc5_ms5
cs.AI,7369,184,True,10,5,10,2,2.06,cs.AI_mcs184_nn10_nc5_ms10
cs.AI,7369,184,True,10,10,5,11,34.78,cs.AI_mcs184_nn10_nc10_ms5
cs.AI,7369,184,True,10,10,10,8,31.44,cs.AI_mcs184_nn10_nc10_ms10
cs.AI,7369,184,True,15,5,5,11,33.52,cs.AI_mcs184_nn15_nc5_ms5
cs.AI,7369,184,True,15,5,10,5,20.8,cs.AI_mcs184_nn15_nc5_ms10
cs.AI,7369,184,True,15,10,5,8,26.98,cs.AI_mcs184_nn15_nc10_ms5
cs.AI,7369,184,True,15,10,10,6,25.09,cs.AI_mcs184_nn15_nc10_ms10
cs.AI,7369,184,True,30,5,5,8,35.08,cs.AI_mcs184_nn30_nc5_ms5
cs.AI,7369,184,True,30,5,10,4,18.69,cs.AI_mcs184_nn30_nc5_ms10
