category,n_docs,min_cluster_size,is_scaled,umap_n_neighbors,umap_n_components,min_samples,n_topics,outlier_pct,config_name
cs.IR,1371,30,False,10,5,5,17,22.25,cs.IR_mcs30_nn10_nc5_ms5
cs.IR,1371,30,False,10,5,10,17,23.34,cs.IR_mcs30_nn10_nc5_ms10
cs.IR,1371,30,False,10,10,5,15,29.54,cs.IR_mcs30_nn10_nc10_ms5
cs.IR,1371,30,False,10,10,10,14,27.72,cs.IR_mcs30_nn10_nc10_ms10
cs.IR,1371,30,False,15,5,5,15,31.58,cs.IR_mcs30_nn15_nc5_ms5
cs.IR,1371,30,False,15,5,10,14,34.65,cs.IR_mcs30_nn15_nc5_ms10
cs.IR,1371,30,False,15,10,5,12,21.95,cs.IR_mcs30_nn15_nc10_ms5
cs.IR,1371,30,False,15,10,10,12,22.83,cs.IR_mcs30_nn15_nc10_ms10
cs.IR,1371,30,False,30,5,5,14,29.61,cs.IR_mcs30_nn30_nc5_ms5
cs.IR,1371,30,False,30,5,10,10,22.98,cs.IR_mcs30_nn30_nc5_ms10
cs.IR,1371,30,False,30,10,5,13,29.32,cs.IR_mcs30_nn30_nc10_ms5
cs.IR,1371,30,False,30,10,10,4,0.0,cs.IR_mcs30_nn30_nc10_ms10
cs.IR,1371,34,True,10,5,5,15,24.58,cs.IR_mcs34_nn10_nc5_ms5
cs.IR,1371,34,True,10,5,10,15,25.67,cs.IR_mcs34_nn10_nc5_ms10
cs.IR,1371,34,True,10,10,5,14,31.87,cs.IR_mcs34_nn10_nc10_ms5
cs.IR,1371,34,True,10,10,10,13,30.05,cs.IR_mcs34_nn10_nc10_ms10
cs.IR,1371,34,True,15,5,5,13,33.77,cs.IR_mcs34_nn15_nc5_ms5
cs.IR,1371,34,True,15,5,10,12,36.91,cs.IR_mcs34_nn15_nc5_ms10
cs.IR,1371,34,True,15,10,5,14,31.58,cs.IR_mcs34_nn15_nc10_ms5
cs.IR,1371,34,True,15,10,10,11,22.83,cs.IR_mcs34_nn15_nc10_ms10
cs.IR,1371,34,True,30,5,5,11,24.14,cs.IR_mcs34_nn30_nc5_ms5
cs.IR,1371,34,True,30,5,10,8,21.59,cs.IR_mcs34_nn30_nc5_ms10
cs.IR,1371,34,True,30,10,5,10,27.72,cs.IR_mcs34_nn30_nc10_ms5
cs.IR,1371,34,True,30,10,10,3,0.0,cs.IR_mcs34_nn30_nc10_ms10
cs.IR,1371,50,False,10,5,5,13,27.86,cs.IR_mcs50_nn10_nc5_ms5
cs.IR,1371,50,False,10,5,10,10,24.58,cs.IR_mcs50_nn10_nc5_ms10
cs.IR,1371,50,False,10,10,5,10,38.51,cs.IR_mcs50_nn10_nc10_ms5
cs.IR,1371,50,False,10,10,10,9,38.88,cs.IR_mcs50_nn10_nc10_ms10
cs.IR,1371,50,False,15,5,5,7,31.36,cs.IR_mcs50_nn15_nc5_ms5
cs.IR,1371,50,False,15,5,10,7,32.6,cs.IR_mcs50_nn15_nc5_ms10
